Name,Brand,Type,Price,Channels,Total_Capacity,Bus_Interface,Clock_Speed
G.Skill Trident Z5 RGB,G.Skill,DDR5,299,2,32,DIMM,7200
G.Skill Trident Z5 RGB,G.Skill,DDR5,599,4,64,DIMM,7200
Crucial 2x32GB DDR5-4800,Crucial,DDR5,160,2,64,DIMM,4800
Crucial 4x32GB DDR5-4800,Crucial,DDR5,320,4,128,DIMM,4800
A-Tech 128GB,A-Tech,DDR5,509,4,128,DIMM,4800
G.Skill Ripjaws V,G.Skill,DDR4,41,2,16,DIMM,3600
G.Skill Ripjaws V,G.Skill,DDR4,82,4,32,DIMM,3600
Corsair Dominator Platinum RGB,Corsair,DDR4,135,2,32,DIMM,3200
Corsair Dominator Platinum RGB,Corsair,DDR4,270,4,64,DIMM,3200
Vengeance LPX 64GB,Corsair,DDR4,186,4,64,DIMM,2400
Vengeance LPX 64GB,Corsair,DDR4,93,2,32,DIMM,2400
