Name,Brand,Type,Price,Form_Factor,Bus_Interface,Capacity,Max_TDP,Sequential_Read,Sequential_Write
870 QVO SATA III,Samsung,SSD,65,"2.5""",SATA,512,3.5,560,530
870 QVO SATA III,Samsung,SSD,95,"2.5""",SATA,1024,3.5,560,530
870 QVO SATA III,Samsung,SSD,145,"2.5""",SATA,2048,3.5,560,530
SK Hynix Platinum P41,SK Hynix,SSD,90,M.2,M.2,512,6.1,"7,000","6,500"
SK Hynix Platinum P41,SK Hynix,SSD,140,M.2,M.2,1000,6.1,"7,000","6,500"
SK Hynix Platinum P41,SK Hynix,SSD,260,M.2,M.2,2048,6.1,"7,000","6,500"
Crucial P3,Crucial,SSD,15,M.2,M.2,512,3.5,"3,500","3,000"
Crucial P3,Crucial,SSD,25,M.2,M.2,1000,3.5,"3,500","3,000"
Crucial P3,Crucial,SSD,38,M.2,M.2,2048,3.5,"3,500","3,000"
WD Blue,Western Digital,HDD,50,"3.5""",SATA,4096,3,560,530
WD Blue,Western Digital,HDD,35,"3.5""",SATA,2048,3,560,530
WD Blue,Western Digital,HDD,25,"3.5""",SATA,1024,3,560,530
